"components/c-100/title/","Czy rozpoznajesz Matterhorn wygenerowany przez AI?"
"components/c-210/_items/2/title/","Przypadek 3: Zniekształcenie w rozpoznawaniu twarzy"
"components/c-210/_items/2/body/","Zdjęcie paszportowe studenta inżynierii pochodzenia azjatyckiego w Nowej Zelandii zostało odrzucone przez zautomatyzowany system, ponieważ <b>błędnie twierdził, że jego oczy są zamknięte</b>. Ten incydent wskazuje na większy problem <b>błędów etnicznych</b> w technologii rozpoznawania twarzy. Podobne systemy wykazały <b>stronniczość wobec innych grup</b>; na przykład zdjęcia ciemnoskórych kobiet w Wielkiej Brytanii były <b>czterokrotnie częściej klasyfikowane jako niskiej jakości</b>, a zdjęcie czarnoskórej studentki zostało odrzucone, ponieważ system błędnie rozpoznał jej usta jako otwarte <a href='https://springer.com/book/10.1007/978-3-031-17040-9' target='_blank'>(patrz Stahl i in. 2023)</a>."
"components/c-211/title/","Możliwe rozwiązania"
"components/c-211/displayTitle/","Rozwiązywanie wyzwań"
"components/c-211/body/","Podczas gdy wcześniejsze dyskusje mogły podkreślać bardziej niepokojące aspekty AI i uczenia maszynowego, ta sekcja bada <b>proaktywne rozwiązania i postępy</b>, które <b>skutecznie rozwiązują te problemy</b>."
"components/c-211/instruction/","Wybierz nagłówki, aby dowiedzieć się więcej."
"components/c-211/_items/0/title/","Zachowaj krytyczne podejście"
"components/c-211/_items/0/body/","Być może zauważyłeś, że ten kurs <b>celowo wykorzystuje materiały z różnych modeli AI</b>, takich jak Google Imagen 3 i 4 do obrazów oraz starszy model językowy do grafiki zniekształceń płciowych. Jest to zamierzone. <br> <br> Te decyzje demonstrują ważne punkty w historii uczenia maszynowego i służą jako przypomnienie, aby <b>krytycznie kwestionować dwie rzeczy: wynik działania systemów AI</b> w wrażliwych zastosowaniach oraz, co równie ważne, <b>motywacje organizacji</b>, które je dostarczają. <br> <br> Podczas wdrażania jakiegokolwiek systemu AI pomocne jest pamiętanie o powyższych przykładach, aby <b>uniknąć niepożądanych wyników</b>."
"components/c-211/_items/0/_graphic/attribution/","<a href=""https://www.pexels.com/photo/woman-blindfolded-8730085/"" target=""_blank"" style=""color: white;"">Lil Artsy na www.pexels.com</a>"
"components/c-211/_items/1/title/","Mechanizmy bezpieczeństwa"
"components/c-211/_items/1/body/","Poprzednie przykłady pokazały, jak <b>wadliwe dane treningowe mogą prowadzić do stronniczych lub szkodliwych wyników</b>, co jest problemem zarówno dla deweloperów, jak i organów regulacyjnych. W odpowiedzi na to, twórcy modeli wdrażają <b>filtry bezpieczeństwa i „bariery ochronne”, aby zapobiec niepożądanym zachowaniom</b>. <br> <br> Te bariery ochronne mogą obejmować moderowanie wyników i zmniejszanie zniekształceń, aż po mechanizmy zapewniające zgodność odpowiedzi z normami społecznymi lub specyficzną tożsamością firmy. <br> <br> Aby zapewnić, że granica między akceptowalnym a nieakceptowalnym zachowaniem nie jest wyznaczana wyłącznie przez duże firmy technologiczne, inicjatywy takie jak Guardrails.AI oferują otwarte i oparte na społeczności standardy dla modeli AI."
"components/c-211/_items/1/_graphic/attribution/","Wygenerowano za pomocą Google Imagen 4"
"components/c-211/_items/2/title/","Nowe modele są zazwyczaj lepsze"
"components/c-211/_items/2/body/","Nowoczesne modele AI wykazują tendencję do <b>redukcji stronniczości</b>, co wynika z dwóch głównych czynników: <b>wdrożenia wyraźnych mechanizmów bezpieczeństwa</b> oraz <b>bardziej wyrafinowanego rozumienia językowego</b>, które wykracza poza uproszczone korelacje ról płciowych wcześniejszych modeli. <br> <br> Na przykład, osadzenia językowe zintegrowane z ChatGPT prowadzą do <b>znacznie bardziej sprawiedliwych skojarzeń</b> między płcią a zawodami w przeciwieństwie do powyższej grafiki. <br> <br> Podobnie, Google Imagen 4 demonstruje ten postęp, generując <b>większą różnorodność demograficzną</b>; prompt „realistyczne zdjęcie pielęgniarza” generuje teraz obrazy, które pokazują mężczyzn i kobiety w mniej więcej równym stopniu. Spójrz na obraz po lewej stronie."
"components/c-211/_items/2/_graphic/attribution/","Wygenerowano za pomocą Google Imagen 4"
"components/c-213/title/","Quiz: Rekrutacja w Amazonie"
"components/c-213/displayTitle/","Sprawdź swoją wiedzę: AI Amazona"
"components/c-213/body/","Jaki był główny powód, dla którego system AI w przypadku rekrutacji w Amazonie rozwinął stronniczość wobec kandydatek?"
"components/c-213/instruction/","Wybierz jedną opcję, która jest prawdziwa, a następnie kliknij Wyślij."
"components/c-213/ariaQuestion/","Jaki był główny powód, dla którego system AI Amazonu rozwinął stronniczość wobec kandydatek?"
"components/c-213/_items/0/text/","Został wytrenowany na życiorysach z okresu, w którym większość udanych kandydatów stanowili mężczyźni, co spowodowało, że dyskryminował terminy związane z kobietami."
"components/c-213/_items/0/altText/","Opcja: Dane treningowe stronnicze wobec mężczyzn."
"components/c-213/_items/1/text/","Deweloperzy Amazonu celowo zaprogramowali AI tak, aby preferowała kandydatów płci męskiej do niektórych ról."
"components/c-213/_items/1/altText/","Opcja: Celowe zniekształcenie programowania."
"components/c-213/_items/2/text/","Systemowi AI brakowało zdolności do przetwarzania języka neutralnego płciowo, co prowadziło do błędów."
"components/c-213/_items/2/altText/","Opcja: Brak przetwarzania języka neutralnego płciowo."
"components/c-213/_items/3/text/","Kandydatki często składały niekompletne życiorysy, które AI oceniała jako gorsze."
"components/c-213/_items/3/altText/","Opcja: Niekompletne życiorysy kobiet."
"components/c-213/_feedback/title/","Wyjaśnienie zniekształcenia rekrutacyjnego w Amazonie"
"components/c-213/_feedback/correct/","Zgadza się! AI uczyła się z danych historycznych, które pokazywały przeważnie mężczyzn na udanych stanowiskach. W rezultacie nauczyła się niestety kojarzyć pewne terminy, powszechne w życiorysach kobiet (takie jak „przewodnicząca klubu szachowego kobiet”), z mniejszą atrakcyjnością, co prowadziło do stronniczości."
"components/c-213/_feedback/_incorrect/notFinal/","Nie do końca. Sprawdź przypadek 1 w sekcji „Wpływ w prawdziwym życiu”. Skoncentruj się na tym, jak dane treningowe wpłynęły na wyniki AI."
"components/c-213/_feedback/_incorrect/final/","Poprawna odpowiedź to: Został wytrenowany na życiorysach z okresu, w którym większość udanych kandydatów stanowili mężczyźni, co spowodowało, że dyskryminował terminy związane z kobietami. AI odzwierciedlała zniekształcenia obecne w jej danych treningowych, które odzwierciedlały przeszłe wzorce zatrudnienia w Amazonie, zamiast być celowo zaprogramowaną na stronniczość lub z powodu problemów z przetwarzaniem języka."
"components/c-213/_feedback/_partlyCorrect/notFinal/","Ta opcja jest przeznaczona dla pytań z wieloma poprawnymi odpowiedziami, co nie ma tutaj miejsca. Proszę sprawdzić informację zwrotną dla błędnych odpowiedzi."
"components/c-213/_feedback/_partlyCorrect/final/","Ta opcja jest przeznaczona dla pytań z wieloma poprawnymi odpowiedziami, co nie ma tutaj miejsca. Poprawna odpowiedź to, że AI została wytrenowana na danych historycznych, które preferowały kandydatów płci męskiej."
"components/c-213/_buttons/_submit/buttonText/","Wyślij"
"components/c-213/_buttons/_submit/ariaLabel/","Wybierz tutaj, aby wysłać swoją odpowiedź."
"components/c-213/_buttons/_reset/buttonText/","Resetuj"
"components/c-213/_buttons/_reset/ariaLabel/","Wybierz tutaj, aby zresetować swoją odpowiedź."
"components/c-213/_buttons/_showCorrectAnswer/buttonText/","Pokaż poprawną odpowiedź"
"components/c-213/_buttons/_showCorrectAnswer/ariaLabel/","Wybierz tutaj, aby pokazać poprawną odpowiedź."
"components/c-213/_buttons/_hideCorrectAnswer/buttonText/","Pokaż moją odpowiedź"
"components/c-213/_buttons/_hideCorrectAnswer/ariaLabel/","Wybierz tutaj, aby pokazać swoją odpowiedź."
"components/c-213/_buttons/_showFeedback/buttonText/","Pokaż informację zwrotną"
"components/c-213/_buttons/_showFeedback/ariaLabel/","Wybierz tutaj, aby pokazać informację zwrotną."
"components/c-213/_buttons/remainingAttemptsText/","Pozostałe próby"
"components/c-213/_buttons/remainingAttemptText/","ostatnia próba"
"components/c-214/body/","Źródła: <br> <br> Stahl, Bernd; Schroeder, Doris & Rodrigues, Rowena (2023): Ethics of Artificial Intelligence. DOI: <a href=""https://doi.org/10.1007/978-3-031-17040-9"" target=""_blank"">https://doi.org/10.1007/978-3-031-17040-9</a> <br> <br> Bolukbasi et al. (2016): Man is to Computer Programmer as Woman is to Homemaker? Debiasing Word Embeddings, DOI: <a href=""https://doi.org/10.48550/arXiv.1607.06520"" target=""_blank"">https://doi.org/10.48550/arXiv.1607.06520</a> <br> <br> Huawei Technologies (2023): Artificial Intelligence Technogoly, DOI: <a href=""https://doi.org/10.1007/978-981-19-2879-6"" target=""_blank"">https://doi.org/10.1007/978-981-19-2879-6</a> "
"components/c-301/title/","Prawo autorskie w ogólności"
"components/c-301/displayTitle/","Czym jest prawo autorskie?"
"components/c-301/body/","Prawo autorskie to <b>prawo</b>, które przyznaje twórcom <b>wyłączną kontrolę</b> nad ich oryginalnymi dziełami literackimi i artystycznymi. Jako część prawa własności intelektualnej (IP) chroni „dzieła autorstwa”, umożliwiając twórcom zarządzanie wykorzystaniem i rozpowszechnianiem ich dzieł."
"components/c-301/instruction/","Kliknij pola poniżej, aby dowiedzieć się więcej o prawie autorskim."
"components/c-301/_items/0/front/","Co jest chronione?"
"components/c-301/_items/0/back/body/","Prawo autorskie chroni <b><em>konkretny wyraz</em> idei</b>, a nie samą ideę. Dotyczy namacalnych dzieł literackich i artystycznych, takich jak powieści, piosenki, obrazy i oprogramowanie, i daje twórcom <b>kontrolę nad ich konkretnymi manifestacjami</b>."
"components/c-301/_items/1/front/","Na jakich warunkach?"
"components/c-301/_items/1/back/body/","Aby być chronionym prawem autorskim, dzieło musi być wyrażone w <b><em>konkretny sposób</em></b> (nie abstrakcyjne idee) i być <b><em>oryginalne</em></b>. Oryginalność oznacza, że jest to <b>intelektualne dzieło człowieka</b>, które odzwierciedla jego osobowość i twórcze decyzje. Ta <b>ludzka twórczość jest fundamentalna</b>, zwłaszcza w prawie niemieckim i unijnym."
"components/c-301/_items/2/front/","Jakie są prawa właściciela?</b>"
"components/c-301/_items/2/back/body/","Właściciele otrzymują <b>wyłączne prawa do powielania, rozpowszechniania i publicznego odtwarzania</b> swojego dzieła. Posiadają również <b>osobiste prawa autorskie</b>, w tym prawo do ujawnienia, integralności i autorstwa, które zapewniają kontrolę. Prawo autorskie w państwach członkowskich UE trwa zazwyczaj przez <b>całe życie twórcy plus 70 lat</b>."
"components/c-302/title/","Prawo autorskie i AI"
"components/c-302/displayTitle/","A dlaczego to jest ważne dla AI?"
"components/c-302/body/","Pamiętasz Test Turinga z pierwszej części tego kursu: Wyniki systemów AI stały się tak dobre, że wiele z nich trudno odróżnić od treści stworzonych przez człowieka. A większość treści stworzonych przez człowieka w Internecie jest chroniona prawem autorskim. W tej lekcji omówimy trzy pytania:"
"components/c-302/_items/0/title/","Czy trening AI narusza prawo autorskie?"
"components/c-302/_items/1/title/","Czy wyniki systemów AI mogą naruszać prawa autorskie?"
"components/c-302/_items/2/title/","Czy wyniki AI podlegają ochronie prawem autorskim?"
"components/c-303/title/","Trening AI a prawo autorskie"
"components/c-303/displayTitle/","Trening AI <em>może</em> naruszać prawo autorskie"
"components/c-303/body/","Kwestia, czy trening modeli AI na materiałach chronionych prawem autorskim stanowi naruszenie, jest centralnym i intensywnie dyskutowanym tematem prawnym. Obejmuje ona złożone interpretacje istniejących przepisów prawa autorskiego i powstawanie nowych regulacji, zwłaszcza w UE. Zrozumienie tej dziedziny wymaga zbadania zarówno technicznej natury modeli AI, jak i ram prawnych dotyczących wykorzystania danych."
"components/c-303/instruction/","Kliknij pola poniżej, aby dowiedzieć się więcej o tym złożonym temacie."
"components/c-303/_items/0/title/","Modele <em>nie przechowują</em> danych chronionych prawem autorskim"
"components/c-303/_items/0/body/","Modele AI zazwyczaj nie przechowują dokładnych kopii dzieł chronionych prawem autorskim. Zamiast tego uczą się, ekstrahując abstrakcyjne koncepcje i kodując je w reprezentacje numeryczne. Ten proces dekompozycji i abstrakcji oznacza, że wytrenowany model sam w sobie nie jest bezpośrednią kopią i dlatego zazwyczaj nie narusza prawa autorskiego."
"components/c-303/_items/1/title/","Podczas treningu jest to ciągła debata"
"components/c-303/_items/1/body/","Modele AI są trenowane na ogromnych ilościach danych, często włączając materiały chronione prawem autorskim, które zostały zebrane z Internetu. Wykorzystanie tych danych bez wyraźnej zgody może być uznane za naruszenie prawa autorskiego. W USA zwolennicy często argumentują, że mieści się to w ramach „dozwolonego użytku”. W Niemczech i UE istnieją specyficzne wyjątki, takie jak badania naukowe."
"components/c-304/title/","Trwające sprawy o naruszenie praw autorskich"
"components/c-304/displayTitle/","...zwłaszcza zdaniem właścicieli praw autorskich"
"components/c-304/body/","Przyjrzyjmy się ważnym, trwającym postępowaniom sądowym dotyczącym styku treningu AI i prawa autorskiego."
"components/c-304/instruction/","Wybierz zakładki, aby dowiedzieć się więcej."
"components/c-304/_items/0/tabTitle/","NYT vs. OpenAI"
"components/c-304/_items/0/title/","NYT vs. OpenAI & Microsoft"
"components/c-304/_items/0/body/","New York Times pozwał OpenAI i Microsoft, twierdząc, że OpenAI skopiowało miliony ich artykułów bez zezwolenia lub zapłaty, aby trenować swoje duże modele językowe (np. ChatGPT). Obrona OpenAI opiera się na doktrynie dozwolonego użytku. Sędzia federalny niedawno zezwolił na kontynuowanie głównych roszczeń o naruszenie praw autorskich i odrzucił wniosek OpenAI o oddalenie. Ta głośna sprawa jest kluczowa dla zdefiniowania relacji między generatywną AI a prawem autorskim."
"components/c-304/_items/1/tabTitle/","Getty vs. Stability AI"
"components/c-304/_items/1/title/","Getty Images vs. Stability AI"
"components/c-304/_items/1/body/","Getty Images pozwał Stability AI, twórcę modelu AI tekst-na-obraz Stable Diffusion. Getty twierdzi, że Stability AI wykorzystało miliony ich obrazów chronionych prawem autorskim bez zezwolenia do trenowania swojego modelu. Pozew zarzuca naruszenie praw autorskich i znaków towarowych oraz stwierdza, że AI czasami reprodukuje znaki wodne Getty lub wizualnie podobne treści."
"components/c-304/_items/2/tabTitle/","Kneschke vs. LAION"
"components/c-304/_items/2/title/","Kneschke vs. LAION"
"components/c-304/_items/2/body/","Artysta Christopher Kneschke (i inni w powiązanym pozwie zbiorowym) pozwali LAION, organizację non-profit, która gromadzi ogromne zbiory danych obrazowo-tekstowych z Internetu. Te zbiory danych są wykorzystywane do trenowania dużych modeli AI. Pozew twierdzi, że zbiory danych LAION zawierają obrazy chronione prawem autorskim bez zgody artystów, a tym samym ułatwiają naruszenie praw autorskich przez modele na nich trenowane."
"components/c-305/title/","Naruszenie przez wynik AI"
"components/c-305/displayTitle/","Tak, wynik AI może naruszać prawa autorskie"
"components/c-305/body/","Nawet jeśli model AI jest legalnie trenowany, <b>generowana przez niego treść może nadal prowadzić do naruszenia praw autorskich</b>. Dzieje się tak, gdy wynik działania AI jest <b>zbyt podobny</b> do istniejącego dzieła chronionego prawem autorskim, a tym samym narusza prawa autorskie."
"components/c-305/instruction/","Użyj strzałek poniżej, aby zbadać, w jaki sposób treści generowane przez AI mogą naruszać prawa autorskie."
"components/c-305/mobileInstruction/","Wybierz symbol plusa, a następnie następną strzałkę, aby dowiedzieć się więcej."
"components/c-305/_items/0/title/","Istotne podobieństwo"
"components/c-305/_items/0/body/","Jeśli treści generowane przez AI (takie jak obraz, tekst lub muzyka) są <b>tak podobne</b> do istniejącego dzieła chronionego prawem autorskim, że przeciętna osoba uznałaby je za kopię, może to być uznane za <b>naruszenie</b>. Oznacza to, że wynik działania AI <b>zawiera wystarczająco dużo kreatywnych elementów oryginału</b>, aby przekroczyć próg prawny."
"components/c-305/_items/0/strapline/","Zbyt blisko dla komfortu"
"components/c-305/_items/0/_graphic/attribution/","<a href=""https://houstonlawreview.org/article/92126-copyright-safety-for-generative-ai"" target=""_blank"" style=""color: white;"">Sag (2023)</a>"
"components/c-305/_items/0/_graphic/alt/","Diagram przedstawiający uczenie nadzorowane z danymi etykietowanymi prowadzącymi do modelu predykcyjnego."
"components/c-305/_items/1/title/","Nieautoryzowane dzieła pochodne"
"components/c-305/_items/1/body/","Właściciele praw autorskich mają <b>wyłączne prawo do tworzenia „dzieł pochodnych”</b> – nowych dzieł opartych na ich oryginalnych kreacjach. Jeśli użytkownik prosi AI o wygenerowanie treści, które wyraźnie <b>opierają się na chronionej prawem autorskim postaci, środowisku lub specyficznym stylu artystycznym bez zezwolenia</b> (np. nowa historia z udziałem słynnej postaci z kreskówki), wynik działania AI może być uznany za <b>nieautoryzowane dzieło pochodne</b>."
"components/c-305/_items/1/strapline/","Opierając się na twórczości innych"
"components/c-305/_items/1/_graphic/attribution/","<a href=""https://houstonlawreview.org/article/92126-copyright-safety-for-generative-ai"" target=""_blank"" style=""color: white;"">Sag (2023)</a>"
"components/c-305/_items/1/_graphic/alt/","Diagram przedstawiający uczenie nadzorowane z danymi etykietowanymi prowadzącymi do modelu predykcyjnego."
"components/c-305/_items/2/title/","Problem Snoopy'ego"
"components/c-305/_items/2/body/","Pokazuje to, jak AI może uczyć się elementów ze swoich danych treningowych, a następnie reprodukować je w swoich wynikach. Im bardziej charakterystyczna i częściej przedstawiana postać lub identyfikator wizualny w danych treningowych, <b>tym bardziej prawdopodobne jest, że AI go zreprodukuje</b>, gdy zostanie o to poproszona. Na przykład AI może generować <b>bardzo podobne przedstawienia</b> znanych postaci, takich jak Snoopy czy Myszka Miki, lub reprodukować charakterystyczne style artystyczne. Dzieje się tak, ponieważ AI uczy się spójnych cech, co ułatwia <b>wywołanie naruszającego prawa autorskie wyniku</b>, nawet jeśli nie jest to dokładna kopia pojedynczego oryginalnego dzieła."
"components/c-305/_items/2/strapline/","Gdy AI „pamięta”"
"components/c-305/_items/2/_graphic/attribution/","<a href=""https://houstonlawreview.org/article/92126-copyright-safety-for-generative-ai"" target=""_blank"" style=""color: white;"">Sag (2023)</a>"
"components/c-305/_items/2/_graphic/alt/","Diagram przedstawiający uczenie nadzorowane z danymi etykietowanymi prowadzącymi do modelu predykcyjnego."
"components/c-306/title/","Wynik AI nie podlega ochronie prawem autorskim"
"components/c-306/displayTitle/","Nie, wyniki AI nie podlegają bezpośrednio ochronie prawem autorskim"
"components/c-306/body/","Obecne rozumienie i ramy prawa autorskiego generalnie nie zezwalają na ochronę prawem autorskim wyników bezpośrednio przez modele AI, ponieważ same systemy AI nie mogą być uważane za twórców ani osoby prawne."
"components/c-306/instruction/","Kliknij pola poniżej, aby zbadać niuanse prawa autorskiego dla treści stworzonych za pomocą AI."
"components/c-306/_items/0/front/","Wymagana jest ludzka twórczość"
"components/c-306/_items/0/back/body/","Prawo autorskie zasadniczo wymaga <b>ludzkich twórców</b>. Obejmuje to „<b>osobisty stempel</b>” i „<b>wolne, świadome decyzje</b>”, które odzwierciedlają ludzką osobowość i kreatywność. Systemy AI, którym brakuje <b>statusu osoby prawnej</b>, nie mogą wyrażać osobowości ani posiadać praw, co dyskwalifikuje je jako twórców."
"components/c-306/_items/1/front/","AI jako narzędzie, nie jako twórca"
"components/c-306/_items/1/back/body/","Podczas gdy AI może tworzyć dzieła, które <em>mogłyby być chronione</em>, ochrona prawem autorskim zależy od <b>wystarczającej interwencji człowieka</b>. Ludzie, którzy programują, trenują, modyfikują AI lub wybierają wyniki AI, mogą rościć sobie prawa autorskie, ponieważ AI jest traktowana jako <b>narzędzie</b>, takie jak pędzel lub edytor tekstu."
"components/c-306/_items/2/front/","Niewystarczający wkład ludzki"
"components/c-306/_items/2/back/body/","Jeśli wkład ludzki w „<b>wolne i twórcze decyzje</b>” jest <b>niewystarczający</b>, treści generowane przez AI mogą nie posiadać niezbędnego <b>autorstwa</b> do ochrony prawem autorskim. Ochrona zależy całkowicie od stopnia i rodzaju <b>ludzkiego wkładu twórczego</b>."
"components/c-307/title/","Ważne wytyczne"
"components/c-307/displayTitle/","Ważne wytyczne"
"components/c-307/body/","Na zakończenie tego modułu przedstawiamy trzy ważne zalecenia dotyczące poruszania się w złożonym krajobrazie prawa autorskiego i sztucznej inteligencji:"
"components/c-307/_items/0/title/","Nie przesyłaj informacji chronionych prawem autorskim"
"components/c-307/_items/0/body/","Upewnij się, że posiadasz prawa do wszelkich materiałów, które udostępniasz systemowi AI do treningu lub poprawy kontekstu."
"components/c-307/_items/1/title/","Dokładnie sprawdzaj wszystkie wyniki generowane przez AI pod kątem możliwych naruszeń"
"components/c-307/_items/1/body/","Sprawdzaj treści generowane przez AI pod kątem podobieństw do istniejących dzieł chronionych prawem autorskim i przeprowadź należytą staranność przed ich publikacją lub komercjalizacją, ponieważ wyniki AI mogą naruszać prawa autorskie."
"components/c-307/_items/2/title/","Zapewnij wystarczający ludzki wkład twórczy dla ochrony praw autorskich dzieł wspomaganych AI"
"components/c-307/_items/2/body/","Aby zabezpieczyć prawa autorskie do dzieł wspomaganych AI, zapewnij znaczącą interwencję człowieka, kreatywne kierownictwo lub modyfikację wyników AI, ponieważ AI sama w sobie nie może być twórcą."
"components/c-307/_items/3/title/","W razie wątpliwości zasięgnij porady prawnej"
"components/c-307/_items/3/body/","Jeśli nie masz pewności, czy Twoja nowa treść narusza prawa autorskie, zawsze zasięgnij porady prawnej, np. od zespołu prawnego Twojej firmy."
"components/c-308/title/","Quiz: Warunki prawa autorskiego"
"components/c-308/displayTitle/","Sprawdź swoją wiedzę: Prawo autorskie"
"components/c-308/body/","Jaki jest podstawowy warunek ochrony prawem autorskim dzieła, który jest szczególnie podkreślany w prawie niemieckim i unijnym?"
"components/c-308/instruction/","Wybierz jedną opcję, która jest prawdziwa, a następnie kliknij Wyślij."
"components/c-308/ariaQuestion/","Jaki jest podstawowy warunek ochrony prawem autorskim dzieła zgodnie z tekstem?"
"components/c-308/_items/0/text/","Musi być opublikowane komercyjnie."
"components/c-308/_items/0/altText/","Opcja: Wymagana publikacja komercyjna."
"components/c-308/_items/1/text/","Musi być konkretnym wyrazem idei i intelektualnym dziełem ludzkich twórców."
"components/c-308/_items/1/altText/","Opcja: Konkretny wyraz i ludzka twórczość."
"components/c-308/_items/2/text/","Musi być zarejestrowane w państwowym urzędzie praw autorskich."
"components/c-308/_items/2/altText/","Opcja: Wymagana rejestracja państwowa."
"components/c-308/_items/3/text/","Musi być zupełnie nową ideą, która nigdy wcześniej nie została wymyślona."
"components/c-308/_items/3/altText/","Opcja: Wymagana zupełnie nowa idea."
"components/c-308/_feedback/title/","Wyjaśnienie warunków prawa autorskiego"
"components/c-308/_feedback/correct/","Zgadza się! Pole „Jakie są warunki?” wyraźnie stwierdza, że dzieło musi być „konkretnym wyrazem” i „intelektualnym dziełem ludzkich twórców”, aby było chronione prawem autorskim, przy czym ludzka twórczość jest szczególnie podkreślana jako fundamentalna w prawie niemieckim i unijnym."
"components/c-308/_feedback/_incorrect/notFinal/","Nie do końca. Sprawdź pole „Jakie są warunki?” w sekcji „Prawo autorskie w ogólności”. Zwróć szczególną uwagę na to, co jest uważane za „oryginalne”."
"components/c-308/_feedback/_incorrect/final/","Poprawna odpowiedź to: Musi być konkretnym wyrazem idei i intelektualnym dziełem ludzkich twórców. Prawo autorskie chroni wyraz idei, a nie samą ideę, i wymaga ludzkiej kreatywności oraz „osobistego stempla” do ochrony w wielu ramach prawnych."
"components/c-308/_feedback/_partlyCorrect/notFinal/","To pytanie ma tylko jedną poprawną odpowiedź. Proszę sprawdzić swój wybór na podstawie treści."
"components/c-308/_feedback/_partlyCorrect/final/","To pytanie ma tylko jedną poprawną odpowiedź. Poprawna odpowiedź to, że dzieło musi być konkretnym wyrazem idei i intelektualnym dziełem ludzkich twórców, aby było chronione prawem autorskim."
"components/c-308/_buttons/_submit/buttonText/","Wyślij"
"components/c-308/_buttons/_submit/ariaLabel/","Wybierz tutaj, aby wysłać swoją odpowiedź."
"components/c-308/_buttons/_reset/buttonText/","Resetuj"
"components/c-308/_buttons/_reset/ariaLabel/","Wybierz tutaj, aby zresetować swoją odpowiedź."
"components/c-308/_buttons/_showCorrectAnswer/buttonText/","Pokaż poprawną odpowiedź"
"components/c-308/_buttons/_showCorrectAnswer/ariaLabel/","Wybierz tutaj, aby pokazać poprawną odpowiedź."
"components/c-308/_buttons/_hideCorrectAnswer/buttonText/","Pokaż moją odpowiedź"
"components/c-308/_buttons/_hideCorrectAnswer/ariaLabel/","Wybierz tutaj, aby pokazać swoją odpowiedź."
"components/c-308/_buttons/_showFeedback/buttonText/","Pokaż informację zwrotną"
"components/c-308/_buttons/_showFeedback/ariaLabel/","Wybierz tutaj, aby pokazać informację zwrotną."
"components/c-308/_buttons/remainingAttemptsText/","Pozostałe próby"
"components/c-308/_buttons/remainingAttemptText/","ostatnia próba"
"components/c-309/title/","Quiz: Lista kontrolna praw autorskich"
"components/c-309/displayTitle/","Zadania do wykonania przed publikacją dzieł wspomaganych AI"
"components/c-309/body/","Użyłeś narzędzia AI do pomocy w tworzeniu nowego produktu (np. generowanie elementów projektu, tekstu marketingowego lub części kodu oprogramowania). Jakie kluczowe sprawdzenia powinieneś przeprowadzić przed publiczną publikacją tego produktu, aby uwzględnić kwestie praw autorskich zgodnie z zaleceniami w tym module?"
"components/c-309/instruction/","Wybierz jedną lub więcej opcji, która jest prawdziwa, a następnie kliknij Wyślij."
"components/c-309/ariaQuestion/","Jakie kluczowe sprawdzenia powinieneś przeprowadzić przed publikacją dzieł wspomaganych AI?"
"components/c-309/_items/0/text/","Sprawdź, czy wszystkie informacje, które udostępniłeś systemowi AI do treningu lub poprawy kontekstu, były wolne od praw autorskich lub posiadałeś niezbędne prawa do ich wykorzystania."
"components/c-309/_items/0/altText/","Opcja: Sprawdź prawa autorskie danych wejściowych."
"components/c-309/_items/1/text/","Dokładnie sprawdź wszystkie wyniki generowane przez AI, zintegrowane z produktem, pod kątem możliwych podobieństw do istniejących dzieł chronionych prawem autorskim."
"components/c-309/_items/1/altText/","Opcja: Sprawdź wynik AI pod kątem naruszenia."
"components/c-309/_items/2/text/","Upewnij się, że w produkcie końcowym był wystarczający ludzki wkład twórczy, aby uzasadnić ludzkie autorstwo dla ochrony praw autorskich."
"components/c-309/_items/2/altText/","Opcja: Zapewnij wystarczający wkład ludzki."
"components/c-309/_items/3/text/","Sprawdź, czy sam model AI został zarejestrowany w odpowiednich organach ds. praw autorskich."
"components/c-309/_items/3/altText/","Opcja: Sprawdź rejestrację praw autorskich modelu AI."
"components/c-309/_feedback/title/","Wyjaśnienie listy kontrolnej praw autorskich"
"components/c-309/_feedback/correct/","Doskonale! Wszystkie trzy punkty (A, B i C) to kluczowe kroki z zaleceń modułu. Zapewnienie, że Twoje dane wejściowe są jasne, dokładne sprawdzanie wyników generowanych przez AI pod kątem możliwych naruszeń oraz utrzymanie wystarczającej ludzkiej kontroli twórczej są niezbędne do poruszania się w kwestiach praw autorskich w produktach wspomaganych AI."
"components/c-309/_feedback/_incorrect/notFinal/","Nie do końca. Sprawdź sekcję „Ważne zalecenia”. Pamiętaj, że kwestie praw autorskich dotyczą zarówno danych wejściowych do AI, jak i jej generowanych wyników, a także całego wkładu ludzkiego."
"components/c-309/_feedback/_incorrect/final/","Poprawne odpowiedzi to A, B i C. Zalecenia podkreślają znaczenie: 1) upewnienia się, że masz prawa do wszystkich danych, które udostępniasz AI; 2) dokładnego sprawdzania treści generowanych przez AI pod kątem podobieństw do istniejących dzieł chronionych prawem autorskim; oraz 3) zapewnienia wystarczającego ludzkiego wkładu twórczego, aby rościć sobie prawa autorskie do dzieła końcowego. Prawa autorskie samego modelu AI nie są głównym problemem podczas przeglądów wydania produktu przez użytkownika."
"components/c-309/_feedback/_partlyCorrect/notFinal/","Zidentyfikowałeś kilka kluczowych kroków, ale nie wszystkie. Sprawdź odpowiednie sekcje, aby znaleźć te, które przegapiłeś."
